,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
218,FBP,First BanCorp.,2931651840,4.2,4.724096386,3,1,7,2,7,8,3.280543,FALSE
219,AMP,"Ameriprise Financial, Inc.",41178624000,3.73333,4.640963855,3,4,4,3,1,11,1.3061146,FALSE
220,ABM,ABM Industries Incorporated,2835458560,3.375,4.645783133,,1,4,7,8,4,1.9866072,FALSE
221,TROW,"T. Rowe Price Group, Inc.",24629979100,2.61538,4.663855422,3.8,3,7,9,3,9,4.4424295,FALSE
222,HOMB,"Home Bancshares, Inc. (Conway, AR)",4835310600,3.875,4.651807229,3,2,7,7,7,9,2.9950082,FALSE
223,FTEK,"Fuel Tech, Inc.",37677768,4,4.7,,1,3,6,10,2,,FALSE
224,DHT,"DHT Holdings, Inc.",1837541380,4.57143,4.75060241,3.66667,2,1,6,7,5,8.691835,FALSE
225,EYPT,"EyePoint Pharmaceuticals, Inc.",939598020,4.7,4.654216867,3.5,4,3,2,4,8,,FALSE
226,TRMK,Trustmark Corporation,1837798140,3.16667,4.748192771,,2,3,2,9,9,3.0625832,FALSE
227,PRU,"Prudential Financial, Inc.",40326930000,2.86667,4.671084337,3.75,5,2,3,2,8,4.4968834,FALSE
228,EEFT,"Euronet Worldwide, Inc.",4786329100,4.3,4.65060241,3,2,7,5,5,10,,FALSE
229,VVI,Viad Corp,720896190,4.5,4.712048193,4,2,1,3,9,8,,FALSE
230,CB,Chubb Limited,1.01487E+11,3.6,4.673493976,3.5,5,6,4,1,11,1.3763853,FALSE
231,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",4320690700,3.625,4.662650602,4,2,9,6,1,4,5.092382,FALSE
232,NCMI,"National CineMedia, Inc.",433699712,4,4.754216867,3,4,6,3,2,1,,FALSE
233,CUK,Carnival Corporation & plc,18119743500,5,4.755421687,3,2,1,5,3,8,,FALSE
242,GSL,"Global Ship Lease, Inc.",801744960,4.5,4.643373494,3.5,6,1,5,1,1,6.5645514,TRUE
235,TMUS,"T-Mobile US, Inc.",1.93907E+11,4.35714,4.74939759,3.25,5,1,4,1,11,0.7856409,FALSE
236,SM,SM Energy Company,5420416500,3.92857,4.718072289,4,2,6,2,4,7,1.4006791,FALSE
237,MYE,"Myers Industries, Inc.",822153600,5,4.66746988,,1,9,4,5,8,2.4215248,FALSE
238,IBCP,Independent Bank Corporation,523428064,3,4.685542169,3,1,8,3,9,6,3.7140574,FALSE
239,NS,NuStar Energy L.P. Common Units,2830595840,2.85714,4.692771084,,1,9,3,6,9,7.1524363,FALSE
240,PHI,PLDT Inc.,5001186800,5,4.745783133,2.5,2,9,5,7,2,11.540388,FALSE
241,EONGY,E.ON SE,34658140000,5,4.753012048,3,1,7,5,2,6,4.1443787,FALSE
464,GDDY,GoDaddy Inc.,17361430500,4,4.390736342,4,4,3,2,2,6,,TRUE
243,PAR,PAR Technology Corporation,1434029060,3.9,4.680722892,4,3,1,4,10,7,,FALSE
